criterio,cuenca,dataset,n_spells,mean_dias,median_dias,p90_dias,p99_dias,max_dias
i_global,Loa,CR2MET (hist),55015,65.579,23.0,185.0,456.0,1419.0
i_global,Loa,ALADIN (hist),66267,54.603,22.0,143.0,360.0,1156.0
i_global,Loa,ALADIN (futuro),64043,56.646,25.0,151.0,385.0,1853.0
i_global,Maipo,CR2MET (hist),150209,10.96,5.0,23.0,119.0,283.0
i_global,Maipo,ALADIN (hist),181049,8.638,4.0,18.0,87.0,194.0
i_global,Maipo,ALADIN (futuro),159887,10.023,4.0,21.0,112.0,224.0
i_global,Maule,CR2MET (hist),184462,9.459,5.0,21.0,83.0,206.0
i_global,Maule,ALADIN (hist),228077,7.345,4.0,17.0,57.0,160.0
i_global,Maule,ALADIN (futuro),202463,8.551,4.0,19.0,76.0,188.0
i_global,Biobio,CR2MET (hist),344251,6.225,4.0,14.0,44.0,109.0
i_global,Biobio,ALADIN (hist),399130,5.312,3.0,12.0,34.0,153.0
i_global,Biobio,ALADIN (futuro),370260,5.98,3.0,14.0,39.0,120.0
ii_mismo,Loa,CR2MET (hist),55015,65.579,23.0,185.0,456.0,1419.0
ii_mismo,Loa,ALADIN (hist),129292,26.956,12.0,70.0,206.0,1127.0
ii_mismo,Loa,ALADIN (futuro),120995,28.928,13.0,75.0,201.0,710.0
ii_mismo,Maipo,CR2MET (hist),150209,10.96,5.0,23.0,119.0,283.0
ii_mismo,Maipo,ALADIN (hist),217952,6.347,3.0,14.0,55.0,167.0
ii_mismo,Maipo,ALADIN (futuro),196196,7.382,4.0,15.0,73.0,198.0
ii_mismo,Maule,CR2MET (hist),184462,9.459,5.0,21.0,83.0,206.0
ii_mismo,Maule,ALADIN (hist),257231,5.801,3.0,13.0,39.0,142.0
ii_mismo,Maule,ALADIN (futuro),235518,6.661,4.0,16.0,49.0,159.0
ii_mismo,Biobio,CR2MET (hist),344251,6.225,4.0,14.0,44.0,109.0
ii_mismo,Biobio,ALADIN (hist),423294,4.189,3.0,9.0,22.0,79.0
ii_mismo,Biobio,ALADIN (futuro),401526,4.704,3.0,10.0,28.0,75.0
iii_local,Loa,CR2MET (hist),55015,65.579,23.0,185.0,456.0,1419.0
iii_local,Loa,ALADIN (hist),71662,50.492,21.0,127.0,353.0,1150.0
iii_local,Loa,ALADIN (futuro),69351,52.205,23.0,138.0,368.5,1438.0
iii_local,Maipo,CR2MET (hist),150209,10.96,5.0,23.0,119.0,283.0
iii_local,Maipo,ALADIN (hist),150900,10.577,5.0,21.0,124.0,226.0
iii_local,Maipo,ALADIN (futuro),133308,12.153,5.0,25.0,139.93,261.0
iii_local,Maule,CR2MET (hist),184462,9.459,5.0,21.0,83.0,206.0
iii_local,Maule,ALADIN (hist),212397,8.179,4.0,19.0,67.0,194.0
iii_local,Maule,ALADIN (futuro),184925,9.636,4.0,21.0,89.0,201.0
iii_local,Biobio,CR2MET (hist),344251,6.225,4.0,14.0,44.0,109.0
iii_local,Biobio,ALADIN (hist),395037,5.438,3.0,12.0,35.0,153.0
iii_local,Biobio,ALADIN (futuro),366529,6.112,3.0,14.0,41.0,145.0
